x	Re(denom)	Im(denom)	arg(denom)
 (-71.717172+0.000000j)	 (0.000007+71.689279j)	 (1.570796+0.000000j)
 (-73.737374+0.000000j)	 (0.000007+73.710245j)	 (1.570796+0.000000j)
 (-69.696970+0.000000j)	 (0.000007+69.668268j)	 (1.570796+0.000000j)
 (-71.717172+0.000000j)	 (0.000007+71.689279j)	 (1.570796+0.000000j)
 (-67.676768+0.000000j)	 (0.000007+67.647209j)	 (1.570796+0.000000j)
 (-69.696970+0.000000j)	 (0.000007+69.668268j)	 (1.570796+0.000000j)
 (-65.656566+0.000000j)	 (0.000007+65.626097j)	 (1.570796+0.000000j)
 (-67.676768+0.000000j)	 (0.000007+67.647209j)	 (1.570796+0.000000j)
 (-65.656566+0.000000j)	 (0.000007+65.626097j)	 (1.570796+0.000000j)
 (-63.636364+0.000000j)	 (0.000007+63.604927j)	 (1.570796+0.000000j)
 (-63.636364+0.000000j)	 (0.000007+63.604927j)	 (1.570796+0.000000j)
 (-61.616162+0.000000j)	 (0.000007+61.583694j)	 (1.570796+0.000000j)
 (-57.575758+0.000000j)	 (0.000007+57.541010j)	 (1.570796+0.000000j)
 (-59.595960+0.000000j)	 (0.000007+59.562391j)	 (1.570796+0.000000j)
 (-55.555556+0.000000j)	 (0.000007+55.519544j)	 (1.570796+0.000000j)
 (-57.575758+0.000000j)	 (0.000007+57.541010j)	 (1.570796+0.000000j)
 (-53.535354+0.000000j)	 (0.000007+53.497982j)	 (1.570796+0.000000j)
 (-55.555556+0.000000j)	 (0.000007+55.519544j)	 (1.570796+0.000000j)
 (-51.515152+0.000000j)	 (0.000007+51.476313j)	 (1.570796+0.000000j)
 (-53.535354+0.000000j)	 (0.000007+53.497982j)	 (1.570796+0.000000j)
 (-49.494949+0.000000j)	 (0.000007+49.454525j)	 (1.570796+0.000000j)
 (-51.515152+0.000000j)	 (0.000007+51.476313j)	 (1.570796+0.000000j)
 (-47.474747+0.000000j)	 (0.000007+47.432601j)	 (1.570796+0.000000j)
 (-49.494949+0.000000j)	 (0.000007+49.454525j)	 (1.570796+0.000000j)
 (-45.454545+0.000000j)	 (0.000007+45.410524j)	 (1.570796+0.000000j)
 (-47.474747+0.000000j)	 (0.000007+47.432601j)	 (1.570796+0.000000j)
 (-43.434343+0.000000j)	 (0.000007+43.388272j)	 (1.570796+0.000000j)
 (-45.454545+0.000000j)	 (0.000007+45.410524j)	 (1.570796+0.000000j)
 (-41.414141+0.000000j)	 (0.000007+41.365821j)	 (1.570796+0.000000j)
 (-43.434343+0.000000j)	 (0.000007+43.388272j)	 (1.570796+0.000000j)
 (-39.393939+0.000000j)	 (0.000007+39.343137j)	 (1.570796+0.000000j)
 (-41.414141+0.000000j)	 (0.000007+41.365821j)	 (1.570796+0.000000j)
 (-39.393939+0.000000j)	 (0.000007+39.343137j)	 (1.570796+0.000000j)
 (-35.353535+0.000000j)	 (0.000007+35.296919j)	 (1.570796+0.000000j)
 (-35.353535+0.000000j)	 (0.000007+35.296919j)	 (1.570796+0.000000j)
 (-33.333333+0.000000j)	 (0.000007+33.273279j)	 (1.570796+0.000000j)
 (-31.313131+0.000000j)	 (0.000007+31.249195j)	 (1.570796+0.000000j)
 (-31.313131+0.000000j)	 (0.000007+31.249195j)	 (1.570796+0.000000j)
 (-29.292929+0.000000j)	 (0.000007+29.224574j)	 (1.570796+0.000000j)
 (-29.292929+0.000000j)	 (0.000007+29.224574j)	 (1.570796+0.000000j)
 (-27.272727+0.000000j)	 (0.000007+27.199295j)	 (1.570796+0.000000j)
 (-27.272727+0.000000j)	 (0.000007+27.199295j)	 (1.570796+0.000000j)
 (-25.252525+0.000000j)	 (0.000007+25.173201j)	 (1.570796+0.000000j)
 (-25.252525+0.000000j)	 (0.000007+25.173201j)	 (1.570796+0.000000j)
 (-23.232323+0.000000j)	 (0.000007+23.146076j)	 (1.570796+0.000000j)
 (-23.232323+0.000000j)	 (0.000007+23.146076j)	 (1.570796+0.000000j)
 (-21.212121+0.000000j)	 (0.000007+21.117625j)	 (1.570796+0.000000j)
 (-21.212121+0.000000j)	 (0.000007+21.117625j)	 (1.570796+0.000000j)
 (-19.191919+0.000000j)	 (0.000007+19.087424j)	 (1.570796+0.000000j)
 (-19.191919+0.000000j)	 (0.000007+19.087424j)	 (1.570796+0.000000j)
 (-17.171717+0.000000j)	 (0.000007+17.054849j)	 (1.570796+0.000000j)
 (-17.171717+0.000000j)	 (0.000007+17.054849j)	 (1.570796+0.000000j)
 (-15.151515+0.000000j)	 (0.000007+15.018935j)	 (1.570796+0.000000j)
 (-15.151515+0.000000j)	 (0.000007+15.018935j)	 (1.570796+0.000000j)
 (-13.131313+0.000000j)	 (0.000007+12.978112j)	 (1.570796+0.000000j)
 (-11.111111+0.000000j)	 (0.000007+10.929629j)	 (1.570796+0.000000j)
 (-9.090909+0.000000j)	 (0.000007+8.868181j)	 (1.570796+0.000000j)

 (-9.090909+0.000000j)	 (0.000007+8.868181j)	 (1.570796+0.000000j)
 (-5.050505+0.000000j)	 (0.000008+4.637629j)	 (1.570795+0.000000j)
 (-7.070707+0.000000j)	 (0.000007+6.781954j)	 (1.570795+0.000000j)
 (-3.030303+0.000000j)	 (0.000009+2.276562j)	 (1.570792+0.000000j)
 (-5.050505+0.000000j)	 (0.000008+4.637629j)	 (1.570795+0.000000j)
 (-3.030303+0.000000j)	 (0.000009+2.276562j)	 (1.570792+0.000000j)
 (-1.010101+0.000000j)	 (1.726180+0.000004j)	 (0.000002+0.000000j)
 (1.010101+0.000000j)	 (1.726180-0.000004j)	 (-0.000002+0.000000j)
 (3.030303+0.000000j)	 (0.000009-2.276562j)	 (-1.570792+0.000000j)
 (5.050505+0.000000j)	 (0.000008-4.637629j)	 (-1.570795+0.000000j)
 (3.030303+0.000000j)	 (0.000009-2.276562j)	 (-1.570792+0.000000j)
 (5.050505+0.000000j)	 (0.000008-4.637629j)	 (-1.570795+0.000000j)
 (7.070707+0.000000j)	 (0.000007-6.781954j)	 (-1.570795+0.000000j)
 (7.070707+0.000000j)	 (0.000007-6.781954j)	 (-1.570795+0.000000j)
 (9.090909+0.000000j)	 (0.000007-8.868181j)	 (-1.570796+0.000000j)
 (9.090909+0.000000j)	 (0.000007-8.868181j)	 (-1.570796+0.000000j)
 (11.111111+0.000000j)	 (0.000007-10.929629j)	 (-1.570796+0.000000j)
 (11.111111+0.000000j)	 (0.000007-10.929629j)	 (-1.570796+0.000000j)
 (13.131313+0.000000j)	 (0.000007-12.978112j)	 (-1.570796+0.000000j)
 (13.131313+0.000000j)	 (0.000007-12.978112j)	 (-1.570796+0.000000j)
 (15.151515+0.000000j)	 (0.000007-15.018935j)	 (-1.570796+0.000000j)
 (17.171717+0.000000j)	 (0.000007-17.054849j)	 (-1.570796+0.000000j)
 (17.171717+0.000000j)	 (0.000007-17.054849j)	 (-1.570796+0.000000j)
 (19.191919+0.000000j)	 (0.000007-19.087424j)	 (-1.570796+0.000000j)
 (19.191919+0.000000j)	 (0.000007-19.087424j)	 (-1.570796+0.000000j)
 (21.212121+0.000000j)	 (0.000007-21.117625j)	 (-1.570796+0.000000j)
 (21.212121+0.000000j)	 (0.000007-21.117625j)	 (-1.570796+0.000000j)
 (23.232323+0.000000j)	 (0.000007-23.146076j)	 (-1.570796+0.000000j)
 (23.232323+0.000000j)	 (0.000007-23.146076j)	 (-1.570796+0.000000j)
 (25.252525+0.000000j)	 (0.000007-25.173201j)	 (-1.570796+0.000000j)
 (25.252525+0.000000j)	 (0.000007-25.173201j)	 (-1.570796+0.000000j)
 (27.272727+0.000000j)	 (0.000007-27.199295j)	 (-1.570796+0.000000j)
 (27.272727+0.000000j)	 (0.000007-27.199295j)	 (-1.570796+0.000000j)
 (29.292929+0.000000j)	 (0.000007-29.224574j)	 (-1.570796+0.000000j)
 (29.292929+0.000000j)	 (0.000007-29.224574j)	 (-1.570796+0.000000j)
 (31.313131+0.000000j)	 (0.000007-31.249195j)	 (-1.570796+0.000000j)
 (31.313131+0.000000j)	 (0.000007-31.249195j)	 (-1.570796+0.000000j)
 (33.333333+0.000000j)	 (0.000007-33.273279j)	 (-1.570796+0.000000j)
 (33.333333+0.000000j)	 (0.000007-33.273279j)	 (-1.570796+0.000000j)
 (35.353535+0.000000j)	 (0.000007-35.296919j)	 (-1.570796+0.000000j)
 (35.353535+0.000000j)	 (0.000007-35.296919j)	 (-1.570796+0.000000j)
 (37.373737+0.000000j)	 (0.000007-37.320185j)	 (-1.570796+0.000000j)
 (37.373737+0.000000j)	 (0.000007-37.320185j)	 (-1.570796+0.000000j)
 (39.393939+0.000000j)	 (0.000007-39.343137j)	 (-1.570796+0.000000j)
 (39.393939+0.000000j)	 (0.000007-39.343137j)	 (-1.570796+0.000000j)
 (41.414141+0.000000j)	 (0.000007-41.365821j)	 (-1.570796+0.000000j)
 (41.414141+0.000000j)	 (0.000007-41.365821j)	 (-1.570796+0.000000j)
 (43.434343+0.000000j)	 (0.000007-43.388272j)	 (-1.570796+0.000000j)
 (43.434343+0.000000j)	 (0.000007-43.388272j)	 (-1.570796+0.000000j)
 (45.454545+0.000000j)	 (0.000007-45.410524j)	 (-1.570796+0.000000j)
 (45.454545+0.000000j)	 (0.000007-45.410524j)	 (-1.570796+0.000000j)
 (47.474747+0.000000j)	 (0.000007-47.432601j)	 (-1.570796+0.000000j)
 (49.494949+0.000000j)	 (0.000007-49.454525j)	 (-1.570796+0.000000j)
 (49.494949+0.000000j)	 (0.000007-49.454525j)	 (-1.570796+0.000000j)
 (51.515152+0.000000j)	 (0.000007-51.476313j)	 (-1.570796+0.000000j)
 (51.515152+0.000000j)	 (0.000007-51.476313j)	 (-1.570796+0.000000j)
 (53.535354+0.000000j)	 (0.000007-53.497982j)	 (-1.570796+0.000000j)
 (53.535354+0.000000j)	 (0.000007-53.497982j)	 (-1.570796+0.000000j)
 (55.555556+0.000000j)	 (0.000007-55.519544j)	 (-1.570796+0.000000j)
 (55.555556+0.000000j)	 (0.000007-55.519544j)	 (-1.570796+0.000000j)
 (57.575758+0.000000j)	 (0.000007-57.541010j)	 (-1.570796+0.000000j)
 (57.575758+0.000000j)	 (0.000007-57.541010j)	 (-1.570796+0.000000j)
 (59.595960+0.000000j)	 (0.000007-59.562391j)	 (-1.570796+0.000000j)
 (59.595960+0.000000j)	 (0.000007-59.562391j)	 (-1.570796+0.000000j)
 (61.616162+0.000000j)	 (0.000007-61.583694j)	 (-1.570796+0.000000j)
 (63.636364+0.000000j)	 (0.000007-63.604927j)	 (-1.570796+0.000000j)
 (63.636364+0.000000j)	 (0.000007-63.604927j)	 (-1.570796+0.000000j)
 (65.656566+0.000000j)	 (0.000007-65.626097j)	 (-1.570796+0.000000j)
 (67.676768+0.000000j)	 (0.000007-67.647209j)	 (-1.570796+0.000000j)
 (67.676768+0.000000j)	 (0.000007-67.647209j)	 (-1.570796+0.000000j)
 (69.696970+0.000000j)	 (0.000007-69.668268j)	 (-1.570796+0.000000j)
 (69.696970+0.000000j)	 (0.000007-69.668268j)	 (-1.570796+0.000000j)
 (71.717172+0.000000j)	 (0.000007-71.689279j)	 (-1.570796+0.000000j)
 (71.717172+0.000000j)	 (0.000007-71.689279j)	 (-1.570796+0.000000j)
 (73.737374+0.000000j)	 (0.000007-73.710245j)	 (-1.570796+0.000000j)
 (75.757576+0.000000j)	 (0.000007-75.731171j)	 (-1.570796+0.000000j)
 (75.757576+0.000000j)	 (0.000007-75.731171j)	 (-1.570796+0.000000j)
 (77.777778+0.000000j)	 (0.000007-77.752059j)	 (-1.570796+0.000000j)
 (77.777778+0.000000j)	 (0.000007-77.752059j)	 (-1.570796+0.000000j)
 (79.797980+0.000000j)	 (0.000007-79.772913j)	 (-1.570796+0.000000j)
 (79.797980+0.000000j)	 (0.000007-79.772913j)	 (-1.570796+0.000000j)
 (81.818182+0.000000j)	 (0.000007-81.793734j)	 (-1.570796+0.000000j)
 (81.818182+0.000000j)	 (0.000007-81.793734j)	 (-1.570796+0.000000j)
 (83.838384+0.000000j)	 (0.000007-83.814525j)	 (-1.570796+0.000000j)
 (83.838384+0.000000j)	 (0.000007-83.814525j)	 (-1.570796+0.000000j)
 (85.858586+0.000000j)	 (0.000007-85.835289j)	 (-1.570796+0.000000j)
 (87.878788+0.000000j)	 (0.000007-87.856026j)	 (-1.570796+0.000000j)
 (87.878788+0.000000j)	 (0.000007-87.856026j)	 (-1.570796+0.000000j)
 (89.898990+0.000000j)	 (0.000007-89.876740j)	 (-1.570796+0.000000j)
 (89.898990+0.000000j)	 (0.000007-89.876740j)	 (-1.570796+0.000000j)
 (91.919192+0.000000j)	 (0.000007-91.897431j)	 (-1.570796+0.000000j)
 (93.939394+0.000000j)	 (0.000007-93.918101j)	 (-1.570796+0.000000j)
 (95.959596+0.000000j)	 (0.000007-95.938752j)	 (-1.570796+0.000000j)
 (95.959596+0.000000j)	 (0.000007-95.938752j)	 (-1.570796+0.000000j)
 (97.979798+0.000000j)	 (0.000007-97.959383j)	 (-1.570796+0.000000j)
 (100.000000+0.000000j)	 (0.000007-99.979998j)	 (-1.570796+0.000000j)
 (100.000000+0.000000j)	 (0.000007-99.979998j)	 (-1.570796+0.000000j)
 (1.000000+0.000000j)	 (1.732051-0.000004j)	 (-0.000002+0.000000j)
 (1.000000+0.000000j)	 (1.732051-0.000004j)	 (-0.000002+0.000000j)
 (-1.000000+0.000000j)	 (1.732051+0.000004j)	 (0.000002+0.000000j)
 (-1.000000+0.000000j)	 (1.732051+0.000004j)	 (0.000002+0.000000j)
 (233.065169+0.000000j)	 (0.000007-233.056587j)	 (-1.570796+0.000000j)
 (233.065169+0.000000j)	 (0.000007-233.056587j)	 (-1.570796+0.000000j)
 (0.004291+0.000000j)	 (1.999995-0.000000j)	 (-0.000000+0.000000j)
 (0.004291+0.000000j)	 (1.999995-0.000000j)	 (-0.000000+0.000000j)
 (-233.065169+0.000000j)	 (0.000007+233.056587j)	 (1.570796+0.000000j)
 (-233.065169+0.000000j)	 (0.000007+233.056587j)	 (1.570796+0.000000j)
 (-0.004291+0.000000j)	 (1.999995+0.000000j)	 (0.000000+0.000000j)
 (-0.004291+0.000000j)	 (1.999995+0.000000j)	 (0.000000+0.000000j)
 (38.298840+0.000000j)	 (0.000007-38.246583j)	 (-1.570796+0.000000j)
 (0.026110+0.000000j)	 (1.999830-0.000000j)	 (-0.000000+0.000000j)
 (0.026110+0.000000j)	 (1.999830-0.000000j)	 (-0.000000+0.000000j)
 (-38.298840+0.000000j)	 (0.000007+38.246583j)	 (1.570796+0.000000j)
 (-0.026110+0.000000j)	 (1.999830+0.000000j)	 (0.000000+0.000000j)
 (13.799952+0.000000j)	 (0.000007-13.654254j)	 (-1.570796+0.000000j)
 (13.799952+0.000000j)	 (0.000007-13.654254j)	 (-1.570796+0.000000j)
 (0.072464+0.000000j)	 (1.998687-0.000000j)	 (-0.000000+0.000000j)
 (0.072464+0.000000j)	 (1.998687-0.000000j)	 (-0.000000+0.000000j)
 (-13.799952+0.000000j)	 (0.000007+13.654254j)	 (1.570796+0.000000j)
 (-0.072464+0.000000j)	 (1.998687+0.000000j)	 (0.000000+0.000000j)
 (-0.072464+0.000000j)	 (1.998687+0.000000j)	 (0.000000+0.000000j)
 (6.737877+0.000000j)	 (0.000007-6.434205j)	 (-1.570795+0.000000j)
 (6.737877+0.000000j)	 (0.000007-6.434205j)	 (-1.570795+0.000000j)
 (0.148415+0.000000j)	 (1.994486-0.000001j)	 (-0.000000+0.000000j)
 (0.148415+0.000000j)	 (1.994486-0.000001j)	 (-0.000000+0.000000j)
 (-6.737877+0.000000j)	 (0.000007+6.434205j)	 (1.570795+0.000000j)
 (-6.737877+0.000000j)	 (0.000007+6.434205j)	 (1.570795+0.000000j)
 (-0.148415+0.000000j)	 (1.994486+0.000001j)	 (0.000000+0.000000j)
 (3.831936+0.000000j)	 (0.000008-3.268598j)	 (-1.570794+0.000000j)
 (0.260965+0.000000j)	 (1.982901-0.000001j)	 (-0.000000+0.000000j)
 (-3.831936+0.000000j)	 (0.000008+3.268598j)	 (1.570794+0.000000j)
 (-3.831936+0.000000j)	 (0.000008+3.268598j)	 (1.570794+0.000000j)
 (-0.260965+0.000000j)	 (1.982901+0.000001j)	 (0.000000+0.000000j)
 (-0.260965+0.000000j)	 (1.982901+0.000001j)	 (0.000000+0.000000j)
 (2.366126+0.000000j)	 (0.000013-1.264338j)	 (-1.570786+0.000000j)
 (2.366126+0.000000j)	 (0.000013-1.264338j)	 (-1.570786+0.000000j)
 (0.422632+0.000000j)	 (1.954836-0.000002j)	 (-0.000001+0.000000j)
 (0.422632+0.000000j)	 (1.954836-0.000002j)	 (-0.000001+0.000000j)
 (-2.366126+0.000000j)	 (0.000013+1.264338j)	 (1.570786+0.000000j)
 (-2.366126+0.000000j)	 (0.000013+1.264338j)	 (1.570786+0.000000j)
 (-0.422632+0.000000j)	 (1.954836+0.000002j)	 (0.000001+0.000000j)
 (-0.422632+0.000000j)	 (1.954836+0.000002j)	 (0.000001+0.000000j)
 (1.524567+0.000000j)	 (1.294487-0.000008j)	 (-0.000006+0.000000j)
 (1.524567+0.000000j)	 (1.294487-0.000008j)	 (-0.000006+0.000000j)
 (0.655924+0.000000j)	 (1.889382-0.000002j)	 (-0.000001+0.000000j)
 (-1.524567+0.000000j)	 (1.294487+0.000008j)	 (0.000006+0.000000j)
 (-0.655924+0.000000j)	 (1.889382+0.000002j)	 (0.000001+0.000000j)
 (3.000000+0.000000j)	 (0.000009-2.236068j)	 (-1.570792+0.000000j)
 (3.000000+0.000000j)	 (0.000009-2.236068j)	 (-1.570792+0.000000j)
 (-3.000000+0.000000j)	 (0.000009+2.236068j)	 (1.570792+0.000000j)
 (-3.000000+0.000000j)	 (0.000009+2.236068j)	 (1.570792+0.000000j)
 (467.130337+0.000000j)	 (0.000007-467.126056j)	 (-1.570796+0.000000j)
 (467.130337+0.000000j)	 (0.000007-467.126056j)	 (-1.570796+0.000000j)
 (1.008581+0.000000j)	 (1.727068-0.000004j)	 (-0.000002+0.000000j)
 (1.008581+0.000000j)	 (1.727068-0.000004j)	 (-0.000002+0.000000j)
 (-467.130337+0.000000j)	 (0.000007+467.126056j)	 (1.570796+0.000000j)
 (-467.130337+0.000000j)	 (0.000007+467.126056j)	 (1.570796+0.000000j)
 (-1.008581+0.000000j)	 (1.727068+0.000004j)	 (0.000002+0.000000j)
 (-1.008581+0.000000j)	 (1.727068+0.000004j)	 (0.000002+0.000000j)
 (77.597680+0.000000j)	 (0.000007-77.571901j)	 (-1.570796+0.000000j)
 (77.597680+0.000000j)	 (0.000007-77.571901j)	 (-1.570796+0.000000j)
 (1.052221+0.000000j)	 (1.700832-0.000004j)	 (-0.000003+0.000000j)
 (1.052221+0.000000j)	 (1.700832-0.000004j)	 (-0.000003+0.000000j)
 (-77.597680+0.000000j)	 (0.000007+77.571901j)	 (1.570796+0.000000j)
 (-77.597680+0.000000j)	 (0.000007+77.571901j)	 (1.570796+0.000000j)
 (-1.052221+0.000000j)	 (1.700832+0.000004j)	 (0.000003+0.000000j)
 (-1.052221+0.000000j)	 (1.700832+0.000004j)	 (0.000003+0.000000j)
 (28.599903+0.000000j)	 (0.000007-28.529887j)	 (-1.570796+0.000000j)
 (28.599903+0.000000j)	 (0.000007-28.529887j)	 (-1.570796+0.000000j)
 (1.144928+0.000000j)	 (1.639860-0.000005j)	 (-0.000003+0.000000j)
 (1.144928+0.000000j)	 (1.639860-0.000005j)	 (-0.000003+0.000000j)
 (-28.599903+0.000000j)	 (0.000007+28.529887j)	 (1.570796+0.000000j)
 (-28.599903+0.000000j)	 (0.000007+28.529887j)	 (1.570796+0.000000j)
 (-1.144928+0.000000j)	 (1.639860+0.000005j)	 (0.000003+0.000000j)
 (-1.144928+0.000000j)	 (1.639860+0.000005j)	 (0.000003+0.000000j)
 (14.475755+0.000000j)	 (0.000007-14.336927j)	 (-1.570796+0.000000j)
 (14.475755+0.000000j)	 (0.000007-14.336927j)	 (-1.570796+0.000000j)
 (1.296829+0.000000j)	 (1.522575-0.000006j)	 (-0.000004+0.000000j)
 (1.296829+0.000000j)	 (1.522575-0.000006j)	 (-0.000004+0.000000j)
 (-14.475755+0.000000j)	 (0.000007+14.336927j)	 (1.570796+0.000000j)
 (-14.475755+0.000000j)	 (0.000007+14.336927j)	 (1.570796+0.000000j)
 (-1.296829+0.000000j)	 (1.522575+0.000006j)	 (0.000004+0.000000j)
 (-1.296829+0.000000j)	 (1.522575+0.000006j)	 (0.000004+0.000000j)
 (8.663872+0.000000j)	 (0.000007-8.429868j)	 (-1.570795+0.000000j)
 (1.521929+0.000000j)	 (1.297587-0.000008j)	 (-0.000006+0.000000j)
 (1.521929+0.000000j)	 (1.297587-0.000008j)	 (-0.000006+0.000000j)
 (-8.663872+0.000000j)	 (0.000007+8.429868j)	 (1.570795+0.000000j)
 (-1.521929+0.000000j)	 (1.297587+0.000008j)	 (0.000006+0.000000j)
 (-1.521929+0.000000j)	 (1.297587+0.000008j)	 (0.000006+0.000000j)
 (5.732252+0.000000j)	 (0.000007-5.372030j)	 (-1.570795+0.000000j)
 (5.732252+0.000000j)	 (0.000007-5.372030j)	 (-1.570795+0.000000j)
 (1.845264+0.000000j)	 (0.771364-0.000017j)	 (-0.000022+0.000000j)
 (1.845264+0.000000j)	 (0.771364-0.000017j)	 (-0.000022+0.000000j)
 (-5.732252+0.000000j)	 (0.000007+5.372030j)	 (1.570795+0.000000j)
 (-5.732252+0.000000j)	 (0.000007+5.372030j)	 (1.570795+0.000000j)
 (-1.845264+0.000000j)	 (0.771364+0.000017j)	 (0.000022+0.000000j)
 (-1.845264+0.000000j)	 (0.771364+0.000017j)	 (0.000022+0.000000j)
 (4.049134+0.000000j)	 (0.000008-3.520723j)	 (-1.570794+0.000000j)
 (2.311848+0.000000j)	 (0.000014-1.159586j)	 (-1.570784+0.000000j)
 (2.311848+0.000000j)	 (0.000014-1.159586j)	 (-1.570784+0.000000j)
 (-4.049134+0.000000j)	 (0.000008+3.520723j)	 (1.570794+0.000000j)
 (-4.049134+0.000000j)	 (0.000008+3.520723j)	 (1.570794+0.000000j)
 (-2.311848+0.000000j)	 (0.000014+1.159586j)	 (1.570784+0.000000j)
 (-2.311848+0.000000j)	 (0.000014+1.159586j)	 (1.570784+0.000000j)
 (0.333333+0.000000j)	 (1.972027-0.000001j)	 (-0.000001+0.000000j)
 (0.333333+0.000000j)	 (1.972027-0.000001j)	 (-0.000001+0.000000j)
 (-0.333333+0.000000j)	 (1.972027+0.000001j)	 (0.000001+0.000000j)
 (-0.333333+0.000000j)	 (1.972027+0.000001j)	 (0.000001+0.000000j)
 (0.991492+0.000000j)	 (1.736935-0.000004j)	 (-0.000002+0.000000j)
 (0.002141+0.000000j)	 (1.999999-0.000000j)	 (-0.000000+0.000000j)
 (0.002141+0.000000j)	 (1.999999-0.000000j)	 (-0.000000+0.000000j)
 (-0.991492+0.000000j)	 (1.736935+0.000004j)	 (0.000002+0.000000j)
 (-0.002141+0.000000j)	 (1.999999+0.000000j)	 (0.000000+0.000000j)
 (-0.002141+0.000000j)	 (1.999999+0.000000j)	 (0.000000+0.000000j)
 (0.950371+0.000000j)	 (1.759771-0.000004j)	 (-0.000002+0.000000j)
 (0.950371+0.000000j)	 (1.759771-0.000004j)	 (-0.000002+0.000000j)
 (0.012887+0.000000j)	 (1.999958-0.000000j)	 (-0.000000+0.000000j)
 (0.012887+0.000000j)	 (1.999958-0.000000j)	 (-0.000000+0.000000j)
 (-0.950371+0.000000j)	 (1.759771+0.000004j)	 (0.000002+0.000000j)
 (-0.950371+0.000000j)	 (1.759771+0.000004j)	 (0.000002+0.000000j)
 (-0.012887+0.000000j)	 (1.999958+0.000000j)	 (0.000000+0.000000j)
 (-0.012887+0.000000j)	 (1.999958+0.000000j)	 (0.000000+0.000000j)
 (0.034965+0.000000j)	 (1.999694-0.000000j)	 (-0.000000+0.000000j)
 (0.034965+0.000000j)	 (1.999694-0.000000j)	 (-0.000000+0.000000j)
 (-0.873417+0.000000j)	 (1.799206+0.000003j)	 (0.000002+0.000000j)
 (-0.034965+0.000000j)	 (1.999694+0.000000j)	 (0.000000+0.000000j)
 (0.771111+0.000000j)	 (1.845369-0.000003j)	 (-0.000002+0.000000j)
 (-0.034965+0.000000j)	 (1.999694+0.000000j)	 (0.000000+0.000000j)
 (0.069081+0.000000j)	 (1.998807-0.000000j)	 (-0.000000+0.000000j)
 (0.771111+0.000000j)	 (1.845369-0.000003j)	 (-0.000002+0.000000j)
 (-0.771111+0.000000j)	 (1.845369+0.000003j)	 (0.000002+0.000000j)
 (0.069081+0.000000j)	 (1.998807-0.000000j)	 (-0.000000+0.000000j)
 (-0.069081+0.000000j)	 (1.998807+0.000000j)	 (0.000000+0.000000j)
 (-0.069081+0.000000j)	 (1.998807+0.000000j)	 (0.000000+0.000000j)
 (0.657061+0.000000j)	 (1.888987-0.000002j)	 (-0.000001+0.000000j)
 (0.657061+0.000000j)	 (1.888987-0.000002j)	 (-0.000001+0.000000j)
 (0.115422+0.000000j)	 (1.996667-0.000000j)	 (-0.000000+0.000000j)
 (0.115422+0.000000j)	 (1.996667-0.000000j)	 (-0.000000+0.000000j)
 (-0.657061+0.000000j)	 (1.888987+0.000002j)	 (0.000001+0.000000j)
 (-0.657061+0.000000j)	 (1.888987+0.000002j)	 (0.000001+0.000000j)
 (-0.115422+0.000000j)	 (1.996667+0.000000j)	 (0.000000+0.000000j)
 (-0.115422+0.000000j)	 (1.996667+0.000000j)	 (0.000000+0.000000j)
 (0.541928+0.000000j)	 (1.925179-0.000002j)	 (-0.000001+0.000000j)
 (0.541928+0.000000j)	 (1.925179-0.000002j)	 (-0.000001+0.000000j)
 (0.174452+0.000000j)	 (1.992377-0.000001j)	 (-0.000000+0.000000j)
 (0.174452+0.000000j)	 (1.992377-0.000001j)	 (-0.000000+0.000000j)
 (-0.174452+0.000000j)	 (1.992377+0.000001j)	 (0.000000+0.000000j)
 (-0.541928+0.000000j)	 (1.925179+0.000002j)	 (0.000001+0.000000j)
 (0.432554+0.000000j)	 (1.952664-0.000002j)	 (-0.000001+0.000000j)
 (-0.174452+0.000000j)	 (1.992377+0.000001j)	 (0.000000+0.000000j)
 (0.432554+0.000000j)	 (1.952664-0.000002j)	 (-0.000001+0.000000j)
 (-0.432554+0.000000j)	 (1.952664+0.000002j)	 (0.000001+0.000000j)
 (0.246966+0.000000j)	 (1.984693-0.000001j)	 (-0.000000+0.000000j)
 (-0.246966+0.000000j)	 (1.984693+0.000001j)	 (0.000000+0.000000j)
 (-0.432554+0.000000j)	 (1.952664+0.000002j)	 (0.000001+0.000000j)
 (0.600000+0.000000j)	 (1.907878-0.000002j)	 (-0.000001+0.000000j)
 (-0.246966+0.000000j)	 (1.984693+0.000001j)	 (0.000000+0.000000j)
 (-0.600000+0.000000j)	 (1.907878+0.000002j)	 (0.000001+0.000000j)
 (0.600000+0.000000j)	 (1.907878-0.000002j)	 (-0.000001+0.000000j)
 (0.995737+0.000000j)	 (1.734505-0.000004j)	 (-0.000002+0.000000j)
 (-0.600000+0.000000j)	 (1.907878+0.000002j)	 (0.000001+0.000000j)
 (0.335235+0.000000j)	 (1.971704-0.000001j)	 (-0.000001+0.000000j)
 (0.995737+0.000000j)	 (1.734505-0.000004j)	 (-0.000002+0.000000j)
 (-0.995737+0.000000j)	 (1.734505+0.000004j)	 (0.000002+0.000000j)
 (0.335235+0.000000j)	 (1.971704-0.000001j)	 (-0.000001+0.000000j)
 (-0.335235+0.000000j)	 (1.971704+0.000001j)	 (0.000001+0.000000j)
 (-0.995737+0.000000j)	 (1.734505+0.000004j)	 (0.000002+0.000000j)
 (0.974874+0.000000j)	 (1.746317-0.000004j)	 (-0.000002+0.000000j)
